NU_INSCRICAO;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;TP_LINGUA;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;NU_NOTA_MT;TP_DEPENDENCIA_ADM_ESC_1.0;TP_DEPENDENCIA_ADM_ESC_2.0;TP_DEPENDENCIA_ADM_ESC_3.0;TP_DEPENDENCIA_ADM_ESC_4.0
fe981a60436f1d9e533a28c67dd66c72290ce7c7;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
f08085c95978cded4e8009e734772d2889c6ab1d;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
2600ee9cbb63e8dc65423f18d2f33c8ad198edfe;484.8;485.3;559.1;1;120.0;100.0;120.0;120.0;40.0;500.0;475.3;0;0;0;0
75182e8460c3cae7808fbe4c3475c15e232327dd;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
9f1f0f639f56faed5cdb4db727692f9a49f7818b;473.2;439.1;472.8;0;120.0;80.0;80.0;80.0;40.0;400.0;430.8;0;1;0;0
45837167deb9a4e1969d5d9bdb31e8bfe7c94017;390.4;521.3;522.5;0;120.0;80.0;100.0;120.0;20.0;440.0;377.3;0;1;0;0
e1268d2857278d8ec8055524bc29cc16b5c4174f;475.8;530.0;483.1;1;120.0;120.0;120.0;120.0;40.0;520.0;467.3;0;0;0;0
b6b8661c6a0867a13e83b584a0468d5e05804128;413.6;522.3;530.1;1;160.0;160.0;160.0;160.0;140.0;780.0;553.9;0;0;0;0
3982766156703660bd7c9662b663d250a68f2734;510.0;560.2;424.6;0;160.0;160.0;140.0;160.0;100.0;720.0;394.0;0;1;0;0
b82b9c8e6d995692aedfad5a31c0c14cfcf108f1;440.0;477.2;470.5;1;120.0;120.0;100.0;120.0;140.0;600.0;415.5;0;1;0;0
3b096a7385fbcd24adb5e622db6ec33ad81b711c;430.6;544.2;402.9;1;140.0;120.0;120.0;140.0;100.0;620.0;427.3;0;1;0;0
ab01ff1e35bb088cda3ccb34ee11e718cf49961c;449.7;485.0;518.5;0;120.0;120.0;120.0;120.0;40.0;520.0;508.0;0;0;0;0
91720b5fe48f70c5f4b21231f265badbb7965923;465.7;559.7;542.5;1;160.0;160.0;160.0;160.0;120.0;760.0;563.6;0;1;0;0
3f910c1717d215698a89b7774fae6aae9ce80a9b;477.3;554.3;441.9;1;100.0;80.0;80.0;80.0;80.0;420.0;383.2;1;0;0;0
51e2e191d63c9ce01f2474dfef6867d39bde0e22;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0
160449496c59d74d6efaed45b00fd1802d7b8fe0;467.8;512.9;452.4;1;140.0;140.0;120.0;120.0;80.0;600.0;470.0;0;0;0;0
5c90f15a173eb63ffaff1dda01bb41959cea8ade;407.8;559.8;479.3;1;140.0;120.0;120.0;120.0;140.0;640.0;435.4;0;0;0;0
642546ecc2ac60f7533a50e51b3ced50d438fa2a;401.4;506.9;518.0;1;160.0;120.0;120.0;120.0;80.0;600.0;373.9;0;0;0;0
bcca1cc0d5b3005d943cd206eb899d1b0470d118;448.9;639.2;604.4;0;160.0;140.0;140.0;140.0;140.0;720.0;542.4;0;0;0;0
80657dbe741b33c3b8aa6627ff05d721fc473535;373.4;518.4;521.8;1;120.0;120.0;80.0;120.0;40.0;480.0;405.7;0;1;0;0
c9fe095eda5d50f8fd64a9066f0c5cfc66b742d3;560.8;586.9;623.0;0;120.0;120.0;120.0;120.0;140.0;620.0;555.6;0;1;0;0
ce018e1ed8c91f329f952c59abec1059d15544fc;593.9;549.4;603.1;0;120.0;120.0;80.0;120.0;40.0;480.0;539.7;0;0;0;0
15fb3ba785590aea2be363ee1b189f1e0c38d168;498.2;619.9;515.7;1;140.0;120.0;120.0;120.0;120.0;620.0;390.3;0;0;0;0
36c49582ac87ab0169f57407a7030d012e19db0f;461.4;587.4;578.4;1;120.0;120.0;120.0;140.0;120.0;620.0;423.5;0;1;0;0
272b3de95fdc0983aa22bd9cffa178a3a362ae43;524.5;581.0;586.5;1;120.0;120.0;120.0;120.0;120.0;600.0;471.1;0;0;0;0
0a90fb44346e04615bc4879b2769751e65740f7e;412.6;396.3;443.2;1;80.0;80.0;60.0;60.0;40.0;320.0;354.6;0;0;0;0
45baf0018e09111593b980febba5122c6045203b;366.7;424.2;450.4;0;80.0;100.0;80.0;80.0;40.0;380.0;345.7;0;1;0;0
1495c703543bb33d4b2a3a38075e9102541d872d;440.3;493.9;536.4;1;80.0;120.0;120.0;80.0;20.0;420.0;443.8;0;0;0;0
31640380bd530bb03092038113931fe88235552d;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
99b9a595ef66afd906ff6cc1924b8aec91d569ac;377.9;527.3;493.6;0;120.0;100.0;80.0;100.0;60.0;460.0;629.3;0;0;0;0
89b718d7a23461843c46a4e7e3b44bda0b0152bf;595.1;565.7;577.4;1;100.0;120.0;120.0;120.0;100.0;560.0;393.6;0;0;0;0
2811fcc8205f513d44f523a753e74e6cc593a4f9;561.1;610.8;607.5;1;120.0;100.0;120.0;80.0;100.0;520.0;708.5;0;1;0;0
777bd9bcb30c7af5ee67f98072e572a304ad0042;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
9061a9d12293f7a706455370a3c7db1093a86775;384.5;512.4;527.4;1;120.0;120.0;120.0;100.0;100.0;560.0;371.8;0;0;0;0
74106591d629e3d8bae3a811a6340f7e31f56ff0;419.9;467.9;387.4;1;140.0;120.0;120.0;120.0;100.0;600.0;378.7;0;0;0;0
2c28ebcabc43052f3029141fa6bec9bdef65dae6;460.9;468.0;516.4;0;140.0;140.0;120.0;120.0;120.0;640.0;468.5;0;0;0;0
ccb11e219efb77f2d1f773e490e18204b743c531;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
b7c29a61f67a7b11a811dd41db7f6cc18cee1082;596.2;610.4;562.7;0;140.0;160.0;160.0;160.0;160.0;780.0;728.3;0;0;0;0
546520198f2a8f443f61687181896c7a91614265;443.8;470.9;503.5;1;80.0;80.0;40.0;80.0;80.0;360.0;434.2;0;1;0;0
00fad6ffd37a5fcd02b67623b5141406caf0ffc0;493.5;504.1;431.9;1;120.0;100.0;80.0;120.0;80.0;500.0;414.1;0;0;0;0
3d45dffbb8f5c2535e2b46228dde95f0c5a4bc00;482.2;590.8;604.4;0;120.0;60.0;40.0;80.0;60.0;360.0;457.8;0;0;0;0
79596e863089f8b7f26b24ea161920750fb9ad98;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
42c347cc2d5a972008ab3fef158bec426fc32d22;446.0;518.9;530.2;1;140.0;140.0;120.0;120.0;120.0;640.0;370.8;0;0;0;1
1184e759ab3abac459311e19e2d4f1773bf1bd41;437.3;449.1;521.7;0;120.0;120.0;80.0;120.0;60.0;500.0;412.4;0;0;0;0
f102d2cce60240d7c8cc8dcd7e819b81ed724c14;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
d11f15d217391ddc98d0007cabc4c21f9438b55b;434.9;475.2;546.8;0;120.0;120.0;80.0;120.0;140.0;580.0;355.6;0;1;0;0
75863688688db57afb85d45f3a0f8359b4a3f256;438.4;441.4;507.0;1;120.0;80.0;120.0;80.0;40.0;440.0;401.6;0;0;0;0
84d341e1ac9c010aa58f782766258ef3f097a6b7;367.1;526.4;532.0;0;120.0;160.0;120.0;120.0;80.0;600.0;492.8;0;0;0;0
c0971b9328ab9ffaf2054856c98080d6070541ae;393.9;492.3;517.3;1;120.0;80.0;60.0;100.0;60.0;420.0;407.6;0;0;0;0
a10aff56c82f1bcb0a43c0aca5061901f21a4dac;414.3;534.0;524.5;1;120.0;120.0;120.0;140.0;100.0;600.0;513.0;0;0;0;0
a6905d20876982ff0006a442533a58cbb39da4c5;477.9;484.2;489.7;1;140.0;100.0;80.0;100.0;80.0;500.0;604.9;0;0;0;0
48e9256e4da87667fae37924792e56e197a4dd88;494.1;587.5;546.6;1;120.0;120.0;120.0;80.0;100.0;540.0;495.3;0;0;0;0
ad810c209e89e9b5e2080eefead70a0f0027c30c;391.1;570.4;511.2;1;100.0;40.0;80.0;80.0;60.0;360.0;397.3;0;1;0;0
b77d99ff8ee7781a40175b2e1e4dc011e63f1920;405.7;476.4;464.7;1;100.0;100.0;80.0;80.0;40.0;400.0;344.1;0;1;0;0
231c9a3c08249643f87ed59301e84e7605b2176f;443.0;521.8;526.0;1;120.0;100.0;120.0;120.0;80.0;540.0;397.0;0;1;0;0
dcdfc953208fe59ec5bd9288d5be4fa3300deb89;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
4e1c0573b418b839469dab13754968982db53a10;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
129d6daf0892c79c68c98ea20f8197645b21b221;444.3;509.1;530.1;1;120.0;120.0;100.0;120.0;80.0;540.0;488.3;0;0;0;0
626eabd333cba14cb6c0c17b13cc2ab36f9070b4;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
d1aba323399aba7434327ab725bbc2d5682316bf;401.8;487.6;444.6;1;100.0;100.0;100.0;120.0;140.0;560.0;363.1;0;0;0;0
6ce27caca885b1a612477f606ac8d4e98b90d8e5;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0
272ee225651d10cf558d114ce37c5189da942a62;457.0;538.6;555.2;1;160.0;140.0;120.0;120.0;120.0;660.0;418.0;0;0;0;0
4d288c96983da75bb8c3983063becbdb867ace89;475.7;547.4;483.5;0;120.0;100.0;120.0;120.0;60.0;520.0;503.0;0;0;0;0
247c20a9befc204fb261300c33ea0cef3f1d0b7d;459.2;505.6;456.0;0;80.0;80.0;80.0;80.0;0.0;320.0;507.8;0;1;0;0
67a6a095cbc03868169ce24cd9f956d3b7d4d7de;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
6169fb11c0c3d6cc7b51edc48b068f948389c40b;382.4;368.3;482.0;1;120.0;120.0;120.0;100.0;60.0;520.0;392.4;0;1;0;0
4ee9f9a4b868e701463ca030c0659e2e7935ffcf;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
bad54913c91cb3f2993dea3652a90be28570a247;460.7;505.8;448.2;0;0.0;0.0;0.0;0.0;0.0;0.0;351.3;0;0;0;0
473fac1a473fc1acbb11e9602f39b135a3c9d9aa;462.8;524.6;498.6;1;140.0;120.0;80.0;120.0;60.0;520.0;418.9;0;0;0;0
28d46528baddeda8c5c1951536a238d791cfa9f8;431.1;431.7;467.8;1;0.0;0.0;0.0;0.0;0.0;0.0;413.0;0;1;0;0
6aea69cd043e47f99f5dc98264805ab85f0b6231;413.1;541.7;564.2;1;80.0;100.0;80.0;100.0;80.0;440.0;421.0;0;0;0;0
9d7bf0f9c4eef2cee9f111baefe4e9fe17a8bdbd;444.7;412.6;382.5;1;80.0;40.0;60.0;60.0;20.0;260.0;433.8;0;0;0;0
208e05b2a1bb30f66d509e5f53a8e126fecf8d6a;456.7;528.5;456.5;1;120.0;120.0;120.0;120.0;100.0;580.0;429.0;0;1;0;0
f02d83027c206dc62f6051b098fe57514a512648;591.8;625.3;591.7;0;160.0;160.0;160.0;160.0;120.0;760.0;650.0;0;0;0;0
1a2b323760650526e617eee8e9b74f5accc8677f;510.0;543.2;575.7;0;160.0;120.0;120.0;140.0;20.0;560.0;496.7;0;0;0;0
b385375f93bf3c8cd9c1c99d0f136b1d718aafaa;435.5;557.9;530.3;1;120.0;80.0;80.0;60.0;40.0;380.0;487.8;0;0;0;0
da368ccf70b742a39fdaed13826c429a393b9b67;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0
f46312530d2396d3e19b4f871c08c69af169e61e;432.7;578.4;546.8;1;120.0;120.0;120.0;120.0;60.0;540.0;408.4;0;0;0;0
e57382b06163599199c713cc1547c331bba1a3c5;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0
db3d90f89c29a36e60a2fa1f8312dff684a8c7ca;383.1;566.5;404.0;1;140.0;160.0;120.0;120.0;80.0;620.0;380.7;0;0;0;0
6cf3b5ed0cc238c2187d949eb1b4448e980e3da8;452.7;620.1;617.7;1;120.0;140.0;140.0;140.0;100.0;640.0;400.0;0;0;0;0
df1637272672a237c36430a25a3167cb50a28bbb;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
a7f39916fea1e145dfede35799c94998938c7b50;383.2;495.6;492.3;1;120.0;120.0;120.0;120.0;40.0;520.0;371.1;0;0;0;0
ec425f49307805a69a22c5e48a6f7b2375375b61;442.5;555.5;486.0;0;140.0;140.0;120.0;120.0;160.0;680.0;411.8;0;1;0;0
9dde22272c72904e4d722d23b2c0f98c59820691;390.1;577.9;455.0;0;120.0;120.0;120.0;120.0;120.0;600.0;575.0;0;1;0;0
61a7418ba4149a3d35cf82235c6d775a4167becb;471.8;535.9;555.5;1;160.0;140.0;120.0;140.0;120.0;680.0;408.6;0;1;0;0
693e5ddade1cea23d6f3bf9c19be79aa07c458a0;383.7;520.6;544.7;0;100.0;80.0;80.0;80.0;20.0;360.0;378.4;0;1;0;0
5d409df3b610ca98c29f339a2b9e48965f7dcdd1;541.1;557.9;576.9;0;120.0;120.0;140.0;120.0;80.0;580.0;457.4;0;0;1;0
6698841b20a8b8109a62ad87c39b775f9587acd0;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
5f7acabd799a730469eac13ddb8e05a0d8a84572;519.3;564.3;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
a396d9225f5b48b7177827c0f09fc5285674599e;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0
9f3154f46424b7847fcc22640b8de69c4db14ddc;575.5;605.2;606.9;0;140.0;120.0;100.0;80.0;120.0;560.0;708.2;0;0;0;0
f0877a18e15982d733e9aeca82bbcb2a161917e8;454.2;433.0;485.2;1;120.0;120.0;80.0;120.0;80.0;520.0;445.3;0;1;0;0
aa16a27c710933541bedd77943eab6beb6218728;582.2;602.8;599.4;1;160.0;160.0;160.0;180.0;180.0;840.0;496.1;0;1;0;0
9ff200dba2915df2a66ef68e2705e8aa0d17ad24;542.1;610.3;583.3;0;160.0;200.0;200.0;180.0;200.0;940.0;499.7;0;0;0;0
f17bbe8db9aa99451eeac1f52d580a35999d720e;438.7;446.1;470.1;0;100.0;80.0;60.0;80.0;20.0;340.0;345.8;0;0;0;0
648f9db6808006abd9065a693ab8a8a512551892;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
8fef04607c9db1028c9a958e49f3afb2e980c8e0;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
dd0c57d54e154ae5c01ea4174f4dfe4990ffda07;373.7;594.7;543.0;1;120.0;120.0;120.0;160.0;120.0;640.0;540.2;0;0;0;0
5c6dc7f8539bcc91ea9bbf131aac5bcd06292b85;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
e61f329517670fdd3f308258e43c37fc12642e69;509.2;575.1;548.5;1;120.0;120.0;120.0;120.0;80.0;560.0;540.5;0;1;0;0
edb8ce295c9abc8a873f4424d995784b6ff58b0b;477.9;569.7;529.6;0;80.0;120.0;120.0;120.0;100.0;540.0;408.3;1;0;0;0
0c5e5107e61c051809c72a731f646ec08b424b93;490.8;543.4;562.6;1;140.0;120.0;120.0;120.0;60.0;560.0;399.3;0;0;0;0
96e3f5d68c22f8e62852f1123856410d8f8e8e95;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
2d3a37f2bafb703f74c57baf12d164e48a36e8ad;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
e1511a8e927cc21c5b23587d397789491d1ad916;516.2;507.6;444.3;1;120.0;120.0;120.0;120.0;80.0;560.0;363.4;0;0;0;0
92282a1d27d299c7bfc377a814e7bd78c0ef3d32;455.6;587.1;574.1;1;120.0;120.0;120.0;160.0;160.0;680.0;538.3;0;1;0;0
062e3b1fa078e4925a3d4a459bfe966e8a9c768a;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
1e8cf6295d7a2c1f1f7a8e654e7d0bb9942e20cb;515.6;547.1;475.5;1;120.0;120.0;100.0;100.0;80.0;520.0;403.9;0;0;0;0
fb434bfad5c0db89bec493ee50c939fdb02d2f6e;485.2;558.7;552.6;1;140.0;120.0;100.0;140.0;80.0;580.0;438.6;0;0;0;0
7bec1e065095abd13da928acd485ab71e5eabcfb;469.5;479.9;455.6;1;120.0;120.0;120.0;120.0;40.0;520.0;437.1;0;0;0;0
a1619705b57c0be2f9408d4d1fc1db1f065ce13e;483.0;514.2;424.5;0;120.0;100.0;100.0;100.0;80.0;500.0;443.3;0;0;0;0
bd9c2b0dbe1916a675895666caf69e0df9dd7b22;635.8;649.6;636.7;0;160.0;160.0;160.0;160.0;140.0;780.0;724.1;0;0;0;1
251e83c18a0d45019ffefab5461664ce84fbc4fb;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
fce4c239420841dddad81c7b85712e1fd6fcd024;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
d5133b425c6fbeba4173f47f18e6412666646ddd;387.0;459.9;455.1;1;100.0;120.0;120.0;120.0;120.0;580.0;501.7;0;0;0;0
861e1d13ac4ee778ad76ff33a93f399004221278;429.8;568.9;570.6;1;100.0;80.0;100.0;100.0;20.0;400.0;626.0;0;1;0;0
b2e643a538180ab8bc1868a96a22d48d80c080dd;435.7;533.5;544.2;0;140.0;120.0;100.0;120.0;40.0;520.0;405.1;0;1;0;0
1b569248445c52edb114e326e66110018229b00d;416.3;665.6;568.5;1;120.0;160.0;140.0;160.0;140.0;720.0;351.5;0;0;0;0
53f72aae18be71e50123aede98c2286902d40ef5;398.6;479.7;495.8;1;100.0;100.0;100.0;120.0;100.0;520.0;433.2;0;0;0;0
f4312979d3a9245a11686e74552a2f235425c8ed;557.8;603.3;574.6;0;120.0;120.0;120.0;120.0;120.0;600.0;590.1;0;0;0;0
b4a0df58cade1c3467b12052df84b1f64d6aa605;414.4;450.5;379.6;0;120.0;120.0;80.0;80.0;40.0;440.0;443.7;0;1;0;0
8144886bbb1baf3730b177ac63e36f654716e8a4;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
a5c056dd012783bc35e17f7687aaaec2c56f2dd0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0
e3f149e277ebf61924972fe87fa4ee816950f493;431.9;591.1;493.4;0;120.0;120.0;100.0;120.0;80.0;540.0;372.2;0;0;0;0
e9ee228cf82265126b0a218a6ad0d4515f9e3576;404.8;346.2;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
a5f4a62d6ed268da4ae565effbde9e65278253cb;653.2;703.6;623.8;0;140.0;120.0;120.0;180.0;180.0;740.0;664.6;0;0;0;0
66bdd2f12b50c2fcf0f3813350b0fc0040b1af9e;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
d0573631ad8f7665d389f30949fa604a1c17185c;468.5;351.0;373.0;1;120.0;80.0;80.0;120.0;40.0;440.0;490.2;0;0;0;0
acd871097b033a83ee458aaee2c66d5bc395027e;436.6;511.9;569.0;0;120.0;100.0;100.0;100.0;40.0;460.0;420.6;0;0;0;0
47711503c2d6694a7e37ad8ac91f7d3df30d7dec;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
056f5b129ee281a862945f4d05e57d909c84de44;512.3;486.9;516.5;1;120.0;120.0;120.0;120.0;80.0;560.0;416.8;0;0;0;0
b0d94e0a86684b316989083d8e581d064413fe59;512.0;635.0;578.5;0;120.0;120.0;80.0;100.0;100.0;520.0;501.0;0;1;0;0
893b891eb70050641ff46e20d9cd7412a74154cd;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
8bfbb04267b3a22be2aa4c532561ef0ade2c63f8;565.2;583.5;570.7;0;160.0;80.0;100.0;80.0;80.0;500.0;676.0;0;0;0;1
ff42818829a5fdb786e58b4a8799183c97cd005e;416.8;550.0;488.8;1;140.0;120.0;120.0;120.0;60.0;560.0;456.8;0;0;0;0
0d82ebb403cc907b042ba68583db34cf91381eac;438.1;425.9;505.5;1;80.0;80.0;40.0;40.0;20.0;260.0;423.9;0;0;0;0
a90dcc63e4edaf1a6bfefc1e75989fab0440d3ce;401.8;486.3;520.1;1;120.0;120.0;120.0;120.0;80.0;560.0;333.8;0;1;0;0
85e31040cf18996a726aee2d2a01578d6ef5f1cd;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
6d1b4e3811f2f5a30453c844ae4bdcb65deb8e4e;411.0;517.4;516.2;1;120.0;120.0;100.0;100.0;80.0;520.0;451.2;0;0;0;1
346b0c0a61fea016a8126f0e5e8939eb3232ba1e;445.7;410.3;372.0;1;100.0;100.0;80.0;120.0;100.0;500.0;446.1;0;1;0;0
87d0b611ce5547590bcae08369197339ad32afc5;535.4;588.2;575.1;0;80.0;80.0;120.0;100.0;100.0;480.0;366.9;0;1;0;0
7d7b7990763af03f52a68e30ca6f11b8d7c2ce05;440.8;520.9;414.6;1;160.0;120.0;120.0;160.0;120.0;680.0;502.8;0;0;0;0
a4597468a677a40f5f065610aa28fcc2c3838ebd;385.1;464.8;450.3;1;120.0;100.0;100.0;100.0;40.0;460.0;488.5;0;1;0;0
125c45ac026f83535195ece61d2fcbd7d7aaaae0;394.0;481.4;490.2;0;120.0;100.0;100.0;120.0;40.0;480.0;556.7;0;1;0;0
369caf36ae09bab2f650ee73f4e2f5ca4b51500a;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
59dbe08f54be241885399789426c1fbcb6ed0867;463.9;531.2;423.4;0;80.0;80.0;80.0;80.0;80.0;400.0;494.4;0;0;0;0
6e8a48f942f8c2cc1f05482c16d28a31d987c5a0;451.5;478.7;527.2;1;100.0;100.0;100.0;100.0;20.0;420.0;454.3;0;0;0;0
dc9f3909aa84b1271eb1dc6dec088b9bfbf75587;470.4;478.9;539.3;1;140.0;120.0;160.0;160.0;120.0;700.0;394.2;0;0;0;0
5fad4c8c56dfdf6e7800a3ba5eae6de2bd459b67;428.6;622.1;495.4;1;120.0;120.0;120.0;120.0;100.0;580.0;509.6;0;1;0;0
58033f875506d9f62ff23032e495cb75a2daf257;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0
