tecnica;mean_absolute_error;mean_squared_error;mean_squared_log_error;median_absolute_error;identificador_aleatorio;tipo_split;normalizador;redutor_dimensionalidade;pipeline;parametros;random_state_split;random_state_random_search;cross_validation_random_search;best_estimator;best_params
ExtraTreeRegressor;64.52337946103424;9924.822090313182;0.2819046998038385;43.6;9669464;train_test_split 20%;robust_scaler;FastICA;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('FastICA', FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.0001, w_init=None,
        whiten=True)), ('ExtraTreeRegressor', ExtraTreeRegressor(ccp_alpha=0.0, criterion='mse', max_depth=None,
                   max_features='auto', max_leaf_nodes=None,
                   min_impurity_decrease=0.0, min_impurity_split=None,
                   min_samples_leaf=1, min_samples_split=2,
                   min_weight_fraction_leaf=0.0, random_state=None,
                   splitter='random'))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'FastICA__n_components': [None, 3, 5, 7, 9, 11, 13], 'FastICA__algorithm': ('parallel', 'deflation'), 'FastICA__whiten': [True, False], 'ExtraTreeRegressor__criterion': ('mse', 'mae'), 'ExtraTreeRegressor__max_features': ('auto', 'sqrt', 'log2')};9;39;10;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=True, with_scaling=True)),
                ('FastICA',
                 FastICA(algorithm='deflation', fun='logcosh', fun_args=None,
                         max_iter=200, n_components=3, random_state=None,
                         tol=0.0001, w_init=None, whiten=True)),
                ('ExtraTreeRegressor',
                 ExtraTreeRegressor(ccp_alpha=0.0, criterion='mse',
                                    max_depth=None, max_features='auto',
                                    max_leaf_nodes=None,
                                    min_impurity_decrease=0.0,
                                    min_impurity_split=None, min_samples_leaf=1,
                                    min_samples_split=2,
                                    min_weight_fraction_leaf=0.0,
                                    random_state=None, splitter='random'))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': True, 'FastICA__whiten': True, 'FastICA__n_components': 3, 'FastICA__algorithm': 'deflation', 'ExtraTreeRegressor__max_features': 'auto', 'ExtraTreeRegressor__criterion': 'mse'}
ExtraTreesRegressor;48.38310269482884;5039.092773197378;0.03259837393542018;34.5033333333333;8816923;train_test_split 20%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('ExtraTreesRegressor', ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=None, max_features='auto', max_leaf_nodes=None,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=2, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=None, oob_score=False,
                    random_state=None, verbose=0, warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'ExtraTreesRegressor__n_estimators': [5, 10, 15], 'ExtraTreesRegressor__criterion': ('mse', 'mae'), 'ExtraTreesRegressor__max_features': ('auto', 'sqrt', 'log2'), 'ExtraTreesRegressor__bootstrap': [True, False], 'ExtraTreesRegressor__warm_start': [True, False]};3;14;3;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvdar',
                     l1_ratio=0.0, max_iter=200, n_components=9,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('ExtraTreesRegressor',
                 ExtraTreesRegressor(bootstrap=True, ccp_alpha=0.0,
                                     criterion='mse', max_depth=None,
                                     max_features='sqrt', max_leaf_nodes=None,
                                     max_samples=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=1, min_samples_split=2,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=15, n_jobs=None,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=False))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 9, 'nmf__init': 'nndsvdar', 'ExtraTreesRegressor__warm_start': False, 'ExtraTreesRegressor__n_estimators': 15, 'ExtraTreesRegressor__max_features': 'sqrt', 'ExtraTreesRegressor__criterion': 'mse', 'ExtraTreesRegressor__bootstrap': True}
BaggingRegressor;60.187123088128175;8062.530266634297;0.032327595076220836;40.073333333333295;5088158;train_test_split 20%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('BaggingRegressor', BaggingRegressor(base_estimator=None, bootstrap=True, bootstrap_features=False,
                 max_features=1.0, max_samples=1.0, n_estimators=10,
                 n_jobs=None, oob_score=False, random_state=None, verbose=0,
                 warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'BaggingRegressor__n_estimators': [5, 10, 15], 'BaggingRegressor__bootstrap': [True, False], 'BaggingRegressor__warm_start': [True, False]};3;37;8;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvd',
                     l1_ratio=0.0, max_iter=200, n_components=None,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('BaggingRegressor',
                 BaggingRegressor(base_estimator=None, bootstrap=False,
                                  bootstrap_features=False, max_features=1.0,
                                  max_samples=1.0, n_estimators=15, n_jobs=None,
                                  oob_score=False, random_state=None, verbose=0,
                                  warm_start=True))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': None, 'nmf__init': 'nndsvd', 'BaggingRegressor__warm_start': True, 'BaggingRegressor__n_estimators': 15, 'BaggingRegressor__bootstrap': False}
GradientBoostingRegressor;83.65027131656588;13003.346479815556;0.4657784577970006;74.42548150849059;8807917;train_test_split 20%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('GradientBoostingRegressor', GradientBoostingRegressor(alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse',
                          init=None, learning_rate=0.1, loss='ls', max_depth=3,
                          max_features=None, max_leaf_nodes=None,
                          min_impurity_decrease=0.0, min_impurity_split=None,
                          min_samples_leaf=1, min_samples_split=2,
                          min_weight_fraction_leaf=0.0, n_estimators=100,
                          n_iter_no_change=None, presort='deprecated',
                          random_state=None, subsample=1.0, tol=0.0001,
                          validation_fraction=0.1, verbose=0, warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'GradientBoostingRegressor__loss': ('ls', 'lad', 'huber', 'quantile'), 'GradientBoostingRegressor__criterion': ('friedman_mse', 'mse', 'mae'), 'GradientBoostingRegressor__max_features': ('auto', 'sqrt', 'log2'), 'GradientBoostingRegressor__n_estimators': [50, 100, 150], 'GradientBoostingRegressor__warm_start': [True, False]};3;10;3;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvd',
                     l1_ratio=0.0, max_iter=200, n_components=5,
                     random_state=None, shuffle=False, solver='mu', tol=0.0001,
                     verbose=0)),
                ('GradientBoostingRegressor',
                 GradientBoostingReg...
                                           learning_rate=0.1, loss='quantile',
                                           max_depth=3, max_features='auto',
                                           max_leaf_nodes=None,
                                           min_impurity_decrease=0.0,
                                           min_impurity_split=None,
                                           min_samples_leaf=1,
                                           min_samples_split=2,
                                           min_weight_fraction_leaf=0.0,
                                           n_estimators=150,
                                           n_iter_no_change=None,
                                           presort='deprecated',
                                           random_state=None, subsample=1.0,
                                           tol=0.0001, validation_fraction=0.1,
                                           verbose=0, warm_start=True))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'mu', 'nmf__n_components': 5, 'nmf__init': 'nndsvd', 'GradientBoostingRegressor__warm_start': True, 'GradientBoostingRegressor__n_estimators': 150, 'GradientBoostingRegressor__max_features': 'auto', 'GradientBoostingRegressor__loss': 'quantile', 'GradientBoostingRegressor__criterion': 'mse'}
AdaBoostRegressor;57.437177565038326;5666.894321646351;2.250709442410732;41.96673623116146;1960403;train_test_split 20%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('AdaBoostRegressor', AdaBoostRegressor(base_estimator=None, learning_rate=1.0, loss='linear',
                  n_estimators=50, random_state=None))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'AdaBoostRegressor__loss': ('linear', 'square', 'exponential'), 'AdaBoostRegressor__n_estimators': [25, 50, 75]};3;24;7;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvdar',
                     l1_ratio=0.0, max_iter=200, n_components=7,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('AdaBoostRegressor',
                 AdaBoostRegressor(base_estimator=None, learning_rate=1.0,
                                   loss='linear', n_estimators=50,
                                   random_state=None))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 7, 'nmf__init': 'nndsvdar', 'AdaBoostRegressor__n_estimators': 50, 'AdaBoostRegressor__loss': 'linear'}
PassiveAggressiveRegressor;49.46757500398054;5363.373861785302;0.3961172684494187;34.623422250581434;2013972;train_test_split 20%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('PassiveAggressiveRegressor', PassiveAggressiveRegressor(C=1.0, average=False, early_stopping=False,
                           epsilon=0.1, fit_intercept=True,
                           loss='epsilon_insensitive', max_iter=1000,
                           n_iter_no_change=5, random_state=None, shuffle=True,
                           tol=0.001, validation_fraction=0.1, verbose=0,
                           warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'PassiveAggressiveRegressor__max_iter': [500, 1000, 1500], 'PassiveAggressiveRegressor__fit_intercept': [True, False], 'PassiveAggressiveRegressor__early_stopping': [True, False], 'PassiveAggressiveRegressor__shuffle': [True, False], 'PassiveAggressiveRegressor__warm_start': [True, False]};3;4;5;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvda',
                     l1_ratio=0.0, max_iter=200, n_components=9,
                     random_state=None, shuffle=False, solver='mu', tol=0.0001,
                     verbose=0)),
                ('PassiveAggressiveRegressor',
                 PassiveAggressiveRegressor(C=1.0, average=False,
                                            early_stopping=False, epsilon=0.1,
                                            fit_intercept=False,
                                            loss='epsilon_insensitive',
                                            max_iter=1500, n_iter_no_change=5,
                                            random_state=None, shuffle=False,
                                            tol=0.001, validation_fraction=0.1,
                                            verbose=0, warm_start=False))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'mu', 'nmf__n_components': 9, 'nmf__init': 'nndsvda', 'PassiveAggressiveRegressor__warm_start': False, 'PassiveAggressiveRegressor__shuffle': False, 'PassiveAggressiveRegressor__max_iter': 1500, 'PassiveAggressiveRegressor__fit_intercept': False, 'PassiveAggressiveRegressor__early_stopping': False}
TheilSenRegressor;53.02709483673763;7323.7683282791395;0.5994384043070197;35.420042530364434;7160293;train_test_split 20%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('TheilSenRegressor', TheilSenRegressor(copy_X=True, fit_intercept=True, max_iter=300,
                  max_subpopulation=10000, n_jobs=None, n_subsamples=None,
                  random_state=None, tol=0.001, verbose=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'TheilSenRegressor__fit_intercept': [True, False], 'TheilSenRegressor__max_iter': [150, 300, 450]};3;18;5;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvdar',
                     l1_ratio=0.0, max_iter=200, n_components=9,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('TheilSenRegressor',
                 TheilSenRegressor(copy_X=True, fit_intercept=False,
                                   max_iter=450, max_subpopulation=10000,
                                   n_jobs=None, n_subsamples=None,
                                   random_state=None, tol=0.001,
                                   verbose=False))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 9, 'nmf__init': 'nndsvdar', 'TheilSenRegressor__max_iter': 450, 'TheilSenRegressor__fit_intercept': False}
ExtraTreeRegressor;65.82083029861617;10504.917050254915;0.31375784884003066;41.750000000000036;1428002;train_test_split 20%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('ExtraTreeRegressor', ExtraTreeRegressor(ccp_alpha=0.0, criterion='mse', max_depth=None,
                   max_features='auto', max_leaf_nodes=None,
                   min_impurity_decrease=0.0, min_impurity_split=None,
                   min_samples_leaf=1, min_samples_split=2,
                   min_weight_fraction_leaf=0.0, random_state=None,
                   splitter='random'))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'ExtraTreeRegressor__criterion': ('mse', 'mae'), 'ExtraTreeRegressor__max_features': ('auto', 'sqrt', 'log2')};3;19;7;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvdar',
                     l1_ratio=0.0, max_iter=200, n_components=None,
                     random_state=None, shuffle=False, solver='mu', tol=0.0001,
                     verbose=0)),
                ('ExtraTreeRegressor',
                 ExtraTreeRegressor(ccp_alpha=0.0, criterion='mse',
                                    max_depth=None, max_features='log2',
                                    max_leaf_nodes=None,
                                    min_impurity_decrease=0.0,
                                    min_impurity_split=None, min_samples_leaf=1,
                                    min_samples_split=2,
                                    min_weight_fraction_leaf=0.0,
                                    random_state=None, splitter='random'))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'nmf__solver': 'mu', 'nmf__n_components': None, 'nmf__init': 'nndsvdar', 'ExtraTreeRegressor__max_features': 'log2', 'ExtraTreeRegressor__criterion': 'mse'}
RandomForestRegressor;44.632618700844745;4317.04450799754;0.06958409233370702;30.98000000000001;5980600;train_test_split 25%;Não utilizado;pca;"[('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('RandomForestRegressor', RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=None, oob_score=False,
                      random_state=None, verbose=0, warm_start=False))]";{'pca__n_components': [None, 3, 5, 7, 9, 11, 13], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'RandomForestRegressor__n_estimators': [5, 10, 15], 'RandomForestRegressor__criterion': ('mse', 'mae'), 'RandomForestRegressor__max_features': ('auto', 'sqrt', 'log2'), 'RandomForestRegressor__bootstrap': [True, False], 'RandomForestRegressor__warm_start': [True, False]};5;36;9;"Pipeline(memory=None,
         steps=[('pca',
                 PCA(copy=True, iterated_power='auto', n_components=None,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=True)),
                ('RandomForestRegressor',
                 RandomForestRegressor(bootstrap=True, ccp_alpha=0.0,
                                       criterion='mae', max_depth=None,
                                       max_features='auto', max_leaf_nodes=None,
                                       max_samples=None,
                                       min_impurity_decrease=0.0,
                                       min_impurity_split=None,
                                       min_samples_leaf=1, min_samples_split=2,
                                       min_weight_fraction_leaf=0.0,
                                       n_estimators=15, n_jobs=None,
                                       oob_score=False, random_state=None,
                                       verbose=0, warm_start=True))],
         verbose=False)";{'pca__whiten': True, 'pca__svd_solver': 'full', 'pca__n_components': None, 'RandomForestRegressor__warm_start': True, 'RandomForestRegressor__n_estimators': 15, 'RandomForestRegressor__max_features': 'auto', 'RandomForestRegressor__criterion': 'mae', 'RandomForestRegressor__bootstrap': True}
ExtraTreesRegressor;45.50591610836003;4533.668649504806;0.038567688787580975;31.200000000000106;7284137;train_test_split 25%;Não utilizado;pca;"[('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('ExtraTreesRegressor', ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=None, max_features='auto', max_leaf_nodes=None,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=2, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=None, oob_score=False,
                    random_state=None, verbose=0, warm_start=False))]";{'pca__n_components': [None, 3, 5, 7, 9, 11, 13], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'ExtraTreesRegressor__n_estimators': [5, 10, 15], 'ExtraTreesRegressor__criterion': ('mse', 'mae'), 'ExtraTreesRegressor__max_features': ('auto', 'sqrt', 'log2'), 'ExtraTreesRegressor__bootstrap': [True, False], 'ExtraTreesRegressor__warm_start': [True, False]};5;24;6;"Pipeline(memory=None,
         steps=[('pca',
                 PCA(copy=True, iterated_power='auto', n_components=5,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=False)),
                ('ExtraTreesRegressor',
                 ExtraTreesRegressor(bootstrap=True, ccp_alpha=0.0,
                                     criterion='mae', max_depth=None,
                                     max_features='auto', max_leaf_nodes=None,
                                     max_samples=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=1, min_samples_split=2,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=10, n_jobs=None,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=False))],
         verbose=False)";{'pca__whiten': False, 'pca__svd_solver': 'randomized', 'pca__n_components': 5, 'ExtraTreesRegressor__warm_start': False, 'ExtraTreesRegressor__n_estimators': 10, 'ExtraTreesRegressor__max_features': 'auto', 'ExtraTreesRegressor__criterion': 'mae', 'ExtraTreesRegressor__bootstrap': True}
BaggingRegressor;45.04764928633847;4413.699933003204;0.02900825313678732;32.45999999999992;7009378;train_test_split 25%;Não utilizado;pca;"[('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('BaggingRegressor', BaggingRegressor(base_estimator=None, bootstrap=True, bootstrap_features=False,
                 max_features=1.0, max_samples=1.0, n_estimators=10,
                 n_jobs=None, oob_score=False, random_state=None, verbose=0,
                 warm_start=False))]";{'pca__n_components': [None, 3, 5, 7, 9, 11, 13], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'BaggingRegressor__n_estimators': [5, 10, 15], 'BaggingRegressor__bootstrap': [True, False], 'BaggingRegressor__warm_start': [True, False]};5;3;8;"Pipeline(memory=None,
         steps=[('pca',
                 PCA(copy=True, iterated_power='auto', n_components=9,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=True)),
                ('BaggingRegressor',
                 BaggingRegressor(base_estimator=None, bootstrap=True,
                                  bootstrap_features=False, max_features=1.0,
                                  max_samples=1.0, n_estimators=10, n_jobs=None,
                                  oob_score=False, random_state=None, verbose=0,
                                  warm_start=False))],
         verbose=False)";{'pca__whiten': True, 'pca__svd_solver': 'full', 'pca__n_components': 9, 'BaggingRegressor__warm_start': False, 'BaggingRegressor__n_estimators': 10, 'BaggingRegressor__bootstrap': True}
GradientBoostingRegressor;44.740314234882774;4110.460757575936;1.163295511854987;29.623819767571263;1708492;train_test_split 25%;Não utilizado;pca;"[('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('GradientBoostingRegressor', GradientBoostingRegressor(alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse',
                          init=None, learning_rate=0.1, loss='ls', max_depth=3,
                          max_features=None, max_leaf_nodes=None,
                          min_impurity_decrease=0.0, min_impurity_split=None,
                          min_samples_leaf=1, min_samples_split=2,
                          min_weight_fraction_leaf=0.0, n_estimators=100,
                          n_iter_no_change=None, presort='deprecated',
                          random_state=None, subsample=1.0, tol=0.0001,
                          validation_fraction=0.1, verbose=0, warm_start=False))]";{'pca__n_components': [None, 3, 5, 7, 9, 11, 13], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'GradientBoostingRegressor__loss': ('ls', 'lad', 'huber', 'quantile'), 'GradientBoostingRegressor__criterion': ('friedman_mse', 'mse', 'mae'), 'GradientBoostingRegressor__max_features': ('auto', 'sqrt', 'log2'), 'GradientBoostingRegressor__n_estimators': [50, 100, 150], 'GradientBoostingRegressor__warm_start': [True, False]};5;40;7;"Pipeline(memory=None,
         steps=[('pca',
                 PCA(copy=True, iterated_power='auto', n_components=3,
                     random_state=None, svd_solver='auto', tol=0.0,
                     whiten=True)),
                ('GradientBoostingRegressor',
                 GradientBoostingRegressor(alpha=0.9, ccp_alpha=0.0,
                                           criterion='mae', init=None,
                                           learning_rate=0.1, loss='huber',
                                           max_depth=3, max_features='auto',
                                           max_leaf_nodes=None,
                                           min_impurity_decrease=0.0,
                                           min_impurity_split=None,
                                           min_samples_leaf=1,
                                           min_samples_split=2,
                                           min_weight_fraction_leaf=0.0,
                                           n_estimators=50,
                                           n_iter_no_change=None,
                                           presort='deprecated',
                                           random_state=None, subsample=1.0,
                                           tol=0.0001, validation_fraction=0.1,
                                           verbose=0, warm_start=False))],
         verbose=False)";{'pca__whiten': True, 'pca__svd_solver': 'auto', 'pca__n_components': 3, 'GradientBoostingRegressor__warm_start': False, 'GradientBoostingRegressor__n_estimators': 50, 'GradientBoostingRegressor__max_features': 'auto', 'GradientBoostingRegressor__loss': 'huber', 'GradientBoostingRegressor__criterion': 'mae'}
AdaBoostRegressor;56.1831716089279;5487.933551806248;1.9017928225106848;44.05056061667699;8380045;train_test_split 25%;Não utilizado;pca;"[('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('AdaBoostRegressor', AdaBoostRegressor(base_estimator=None, learning_rate=1.0, loss='linear',
                  n_estimators=50, random_state=None))]";{'pca__n_components': [None, 3, 5, 7, 9, 11, 13], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'AdaBoostRegressor__loss': ('linear', 'square', 'exponential'), 'AdaBoostRegressor__n_estimators': [25, 50, 75]};5;29;6;"Pipeline(memory=None,
         steps=[('pca',
                 PCA(copy=True, iterated_power='auto', n_components=9,
                     random_state=None, svd_solver='auto', tol=0.0,
                     whiten=False)),
                ('AdaBoostRegressor',
                 AdaBoostRegressor(base_estimator=None, learning_rate=1.0,
                                   loss='linear', n_estimators=25,
                                   random_state=None))],
         verbose=False)";{'pca__whiten': False, 'pca__svd_solver': 'auto', 'pca__n_components': 9, 'AdaBoostRegressor__n_estimators': 25, 'AdaBoostRegressor__loss': 'linear'}
